"id_proc_compra","processo_sipac","id_material","denominacao","id_item_proc_compra","valor_pre_compra","quantidade","qtd_recebida","id_situacao","situacao"
5063,"23076.82171/2022-28",8309,"VÁLVULA P/ LAVATÓRIO INOX SEM LADRÃO DE 1""",22749,58.39,38.00,0.00,1,LICITADO
62,"23076.54025/2015-30",8486,CAVACO MADEIRA - MARAVALHA PINUS ESPECIAL.,825,8.17,62000.00,0.00,1,LICITADO
62,"23076.54025/2015-30",8488,RAÇÃO ANIMAL - RAÇÃO PARA COELHO,824,2.41,6000.00,0.00,1,LICITADO
62,"23076.54025/2015-30",8489,RAÇÃO ANIMAL - RAÇÃO PARA SUÍNOS,822,2.74,14400.00,0.00,1,LICITADO
31,"23076.6885/2017-29",5399,AR CONDICIONADO DE JANELA 21.000 BTUS,154,2307.59,114.00,0.00,1,LICITADO
31,"23076.6885/2017-29",5400,AR CONDICIONADO DE JANELA 30.000 BTUS,153,2916.85,106.00,0.00,1,LICITADO
31,"23076.6885/2017-29",5396,AR CONDICIONADO DE JANELA 07.500 BTUS,152,1037.28,132.00,0.00,1,LICITADO
41,"23076.52998/2015-34",5032,FOGÃO 05 BOCAS,258,796.07,10.00,0.00,1,LICITADO
17,"23076.22222/2016-71",4956,&amp;Aacute;GUA MINERAL 20 LITROS,50,7.11,100000.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5113,PAPEL A3 BRANCO 75G/M,23,33.99,950.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5114,PAPEL A3 BRANCO 90 G/M,24,44.57,210.00,0.00,1,LICITADO
14,"23076.21711/2016-13",4938,PAPEL A4 BRANCO 75G/M,25,17.50,36400.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5110,PAPEL A4 BRANCO 75G/M - (RESERVADO ME/EPP),26,17.50,4100.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5103,PAPEL A4 BRANCO 90G/M,27,20.91,2100.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5111,PAPEL A4 COLORIDO 75G/M,28,26.60,5760.00,0.00,1,LICITADO
14,"23076.21711/2016-13",5112,PAPEL A4 COLORIDO 75G/M - EXCLUSIVO ME/EPP,29,26.60,640.00,0.00,1,LICITADO
41,"23076.52998/2015-34",5036,FORNO MICRO-ONDAS 31 LITROS,261,530.51,90.00,0.00,1,LICITADO
